Item;TAG;DESCRIÇÃO;SALA/BLOCO;BLOCO;MARCA;MODELO;Nº DE SÉRIE;STATUS DE USO;MÉTODO;ROTINA DE USO;STATUS DE AQUISIÇÃO;INSTALAÇÃO;MANUTENÇÃO;CALIBRAÇÃO;QUALIFICAÇÃO;HANDOVER;FORMULÁRIO;RELATÓRIO HOMOLOGADO;N° PROCESSO;N° CONTRATO;EMPRESA;COMENTÁRIOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;CP-512-0005;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169392;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;CP-512-0006;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;168923;FORA DE USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;"Monitor aparentemente com o display queimado/tela preta
14/02: aguardando emissão de nota fiscal para envio do equipamento.
21/02: sem retorno.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;CP-512-0007;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169384;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;CP-512-0008;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169815;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;CP-512-0009;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169816;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;CP-512-0010;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169819;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;CP-512-0011;Contador de Partículas de 1CFM;;B06;PMS;Lasair Pro 310;169820;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;CP-512-0012;Contador de Partículas de 100 LPM;;B06;PMS;Lasair Pro 5100;169398;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;CP-512-0013;Contador de Partículas de 100 LPM;;B06;PMS;Lasair Pro 5100;169807;EM USO;Contagem de partículas totais em ambiente, equipamentos e gases;SIM;ADQUIRIDO;N/A;SIM;SIM;SIM;N/A;N/A;N/A;25800.007743/2023;51/2024;SPECTRIS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;D200-01;Bomba Steritest;D200;B06;Merck;Symbio ISL;ISL635;EM USO;;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.002805/2023;06/2024;MERCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;D200-03;Isolador;D200;B06;Getinge;Isoflex-R;3245;FORA DE USO;;;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;;;;Aguardando a definição dos critérios de aceitação para 2 instrumentos (DIMIC). Os demais instrumentos foram enviados para avaliação do SVC em 21/08/2024. Houve retorno da avaliação dos instrumentos, será necessário agendar uma reunião com SVC e DIMIC (Marília) para discutir sobre os critérios de aceitação. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;D202-01;Milliflex Oasis;D202;B06;Merck;Oasis;F1NB49645 E;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.002805/2023;06/2024;MERCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;D202-02;Refrigerador;D202;B06;Thermo;TSX2305SZ;1142359901220518;FORA DE USO;;SIM;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;"Qualificação térmica vencida. Aberto um RTDO 250313-0839 para que o SVC defina quais ações serão tomadas.
11/06: Qualificação térmica executada. No aguardo da emissão dos relatórios da DATAMED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;D202-03;Refrigerador;D202;B06;Thermo;TSX2305SZ;1142356301220514;FORA DE USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;SIM;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;"Qualificação térmica vencida. Será aberto um RTDO para que o SVC defina quais ações serão tomadas. 
11/06: Qualificação térmica executada. No aguardo da emissão dos relatórios da DATAMED";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;D202-04;Cabine de Segurança Biológica;D202;B06;Thermo Scientific;1386;3004 41 355;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;D202-05;Cabine de Segurança Biológica;D202;B06;Thermo Scientific;1386;3005 17 452;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;D202-06;Cabine de Segurança Biológica;D202;B06;Thermo Scientific;1386;3004 41 357;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;D202-07;Cabine de Segurança Biológica;D202;B06;Thermo Scientific;1386;3004 47 761;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;SIM;INTEGRAL;ASSINADO;HOMOLOGADO;25800.001711/2024-92;23/2025;DATAMED LTDA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;D202-08;Milliflex Oasis;D202;B06;Merck;Oasis;F1NB48345 E;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.002805/2023;06/2024;MERCK;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;D202-09;Manifold EZ-Fit;D202;B06;Merck;EZ-FIT;BM3DB4828;EM USO;;;ADQUIRIDO;INSTALADO;NÃO;NÃO;NÃO;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;DTL-106-0180;Registrador de temperatura e umidade;N110;B06;Testo;174H;37359805;EM USO;;;EMPRESTADO;N/A;NÃO;SIM;NÃO;N/A;N/A;N/A;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;ESP-512-0001;Espectrômetro - ICP-OES;N121;B06;Agilent;5800;MY2240CQ20;EM USO;;;ADQUIRIDO;INSTALADO;SIM;NÃO;SIM;N/A;N/A;N/A;25800.008005/2023;21/2024;AGILENT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;GEN-01;Agitador orbital;N311;B06;Dlab;SK-0180-S;SN21AAM0000117;EM USO;SDS-PAGE;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;GEN-02;Agitador orbital;N311;B06;Dlab;SK-0180-S;SN21AAM0000130;EM USO;SDS-PAGE;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;GEN-03;Agitador orbital;N311;B06;Dlab;SK-0180-Pro;SA223AF0000099;EM USO;SDS-PAGE;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;GEN-04;Agitador orbital;N311;B06;Dlab;SK-0180-Pro;SA223AF0000093;EM USO;SDS-PAGE;;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;GEN-05;Vortex;N311;B06;SI Industries;SI-0256;2E5-262565;EM USO;"Determinação dos Agregados de Proteínas;
Determinação de Tris e Histidina; 
 n-glicanos em rFVIII; 
TTT ";;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;GEN-06;Vortex;N311;B06;SI Industries;SI-0256;2E5-262544;EM USO;"POTÊNCIA;
SDS-PAGE; 
WB;
Determinação dos Agregados de Proteínas; 
Determinação de Tris e Histidina;
n-glicanos em rFVIII; 
TTT ";;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;GEN-07;Vortex;N305;B06;SI Industries;SI-0256;2E5-262547;EM USO;Biocarga;SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;GEN-08;Vortex;N310;B06;SI Industries;SI-0256;2E5-261201;EM USO;;SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;GEN-09;Timer Digital;N311;B06;Fisher;15-081-120;210935762;EM USO;;;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;GEN-10;Timer Digital;N311;B06;Fisher;15-081-120;210935839;EM USO;;;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;GEN-11;Timer Digital;N311;B06;Fisher;15-081-120;210935520;EM USO;;;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;GEN-12;Timer Digital;N311;B06;Fisher;15-081-120;210935667;EM USO;;;TAKEDA;N/A;SIM;SIM;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;GEN-13;Agitador magnético;N311;B06;DLab;MS-M-S10;ME205AJ0000178;EM USO;"ANÁLISE DE AP, API E VP; 
Determinação dos Agregados de Proteínas; 
Fator VIII recombinante em BDS; 
n-glicanos em rFVIII; 
TTT  ";SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;GEN-14;Agitador magnético;N311;B06;DLab;MS-M-S10;ME216AM0000436;EM USO;"ANÁLISE DE AP, API E VP; 
Petermn/ação dos Amregados de Proteínas; 
Fator VIII recombinante em BDS; 
n-glicanos em rFVIII; 
TTT ";SIM;TAKEDA;INSTALADO;SIM;NÃO;NÃO;INTEGRAL;ASSINADO;N/A;25800.001578/2024;24/2025;Mec-Q / Trescal;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
